"X.U.FEFF.Comment","text_tokens","V3"
"AFP CONFIA yo hize trámite pero no dió nada de algo  que ya hice el trámite como se que ya lo hice"," ","afp confia yo hize trámite pero no dió nadar de algo que ya hacer el trámite comer se que ya el hacer"
"Hola yo quiero saber sobre mi descuento de los últimos 6 meses como hacer por q el número q tiene no contestan"," ","hola yo querer saber sobrar mi descontar de el último 6 mes comer hacer por q el número q tener no contestar"
"    Tengo un préstamo en Davivienda no lo pago desde 2 años hoy por la mañana me habló un empleado de ellos que sí no pago me van a descontar de mi pensión quiero saber si pueden hacerlo quisiera saber si me pueden ayudar o explicar"," ","tener uno préstamo en davivienda no el pagar desde 2 año hoy por el mañana me hablar uno emplear de ellos que sí no pagar me ir a descontar de mi pensión querer saber si poder hacerlo querer saber si me poder ayudar o explicar"
"yo quiero firmar sobrevivencia y llamo al telefono que aparese y no contesta"," ","yo querer firmar sobrevivencia y llamar al telefono que aparese y no contestar"
"En q fecha(s) del año hay q hacer la prueba de sobrevivencia?"," ","en q fechar ( segundo ) del año haber q hacer el probar de sobrevivencia ?"
"Cómo puedo aser para que me envíen mi estado de cuenta"," ","cómo poder aser parar que me enviar mi estar de contar"
"Regalarme información  de proyecta5plus "," ","regalarme información de proyecta5plus"
"Yo quiero retirar todos mis ahorros, tengo el tiempo cotizado y me faltan 2 años para cumplir con la edad, estoy desempleada y nadie le da trabajo a personas adultas, por muchos conocimientos y experiencia que posea, por más que apliques a una plaza no te toman en cuenta.Como vas a sobrevivir sin ingresos?"," ","yo querer retirar todo mi ahorro , tener el tiempo cotizar y me faltar 2 año parar cumplir con el edad , estar desempleado y nadie le dar trabajar a persona adulto , por mucho conocimiento y experiencia que poseer , por más que aplicar a unir plaza no te tomar en cuenta.como ir a sobrevivir sin ingreso ?"
"Hola quisiera que una síta para que me den sis ahorros o al menos una parte"," ","hola querer que unir síta parar que me dar si ahorro o al menos unir partir"
"Información xfavor"," ","información xfavor"
"Cuando depositaran"," ","cuando depositar"
"Buenos dias para obtener mi estado de cuenta que debo.aser"," ","bueno dias parar obtener mi estar de contar que debo.aser"
"AFP CONFIA gracias "," ","afp confia gracia"
"Quiero hacer una cita presencial"," ","querer hacer unir citar presencial"
"Quiero aser una cita precensial porfavor"," ","querer aser unir citar precensial porfavor"
"Una persona que se a afiliado pero no a retirado su carnet como puede hacer para obtenerlo"," ","unir personar que se a afiliar pero no a retirar su carnet comer poder hacer parar obtenerlo"
"Gracias "," ","gracia"
"Hola me pueden dar un estado de cuenta por fa"," ","hola me poder dar uno estar de contar por fa"
"Tienen algún problema en la plataforma de empresas, ya que quiero sacar un solvencia y no me aparece ni siquiera el portal de empresas... Me pueden ayudar por favor?"," ","tener alguno problema en el plataforma de empresa , ya que querer sacar uno solvencia y no me aparecer ni siquiera el portal de empresa . . . me poder ayudar por favor ?"
"AFP CONFIA Mil gracias en estos momentos chequeo"," ","afp confia mil gracia en este momento chequeo"
"Lo logré, ya saque la solvencia de mi empresa... Mil gracias!!! "," ","el lograr , ya sacar el solvencia de mi empresa . . . mil gracia ! ! !"
"Cuando ban abrir la AFP q esta aquí en metrocentro sonsonate"," ","cuando ban abrir el afp q este aquí en metrocentro sonsonate"
"AFP CONFIA quisiera saber el estado de cuenta de todos los meses cotizados mando mensajes por messinger pero solo me manda detallado solo de 6 meses y yo quiero saber de todos los meses cotizados"," ","afp confia querer saber el estar de contar de todo el mes cotizar mandar mensaje por messinger pero solo me mandar detallar solo de 6 mes y yo querer saber de todo el mes cotizar"
"AFP CONFIA ok"," ","afp confia ok"
"Ola "," ","ola"
"Nesecito un estado de cuenta"," ","nesecito uno estar de contar"
"Estan atendiendo en agenvia soyapango?"," ","estan atender en agenvia soyapango ?"
"AFP CONFIA yo quiero firmar sobrevivencia.y estuve llamando por teléfono y no contestan. Para hacer cita."," ","afp confia yo querer firmar sobrevivencia.y estar llamar por teléfono y no contestar . parar hacer citar ."
"Hola buenas noches, mi mamá necesita programar una cita pero los servicios que aparecen en la página web no es ninguno al que ella aplica en ese caso como debe hacer ella?"," ","hola bueno noche , mi mamá necesitar programar unir citar pero el servicio que aparecer en el página web no ser ninguno al que él aplicar en ese casar comer deber hacer él ?"
"Hola buen día,disculpe yo necesito un estado de cuenta"," ","hola bueno día , disculpar yo necesitar uno estar de contar"
"AFP CONFIA ya les mande mi correo y no lo mandan"," ","afp confia ya les mandar mi correar y no el mandar"
"AFP CONFIA tardan un mundo para contestar"," ","afp confia tardar uno mundo parar contestar"
"Hola buenos días deseó un estado de cuenta"," ","hola bueno día desear uno estar de contar"
"ALGUIEN ME PUEDE DECIR O EXPLICAR PORQUE RAZÓN EN MI BOLETA DE PAGO ME APARECE  AJUSTE AFP Y ME HAN COBRADO.   $ 10.88 MAS DE LO HABITUAL ????????????????"," ","alguien me poder decir o explicar porque razón en mi boleta de pagar me aparecer ajustar afp y me haber cobrar . $ 10.88 mas de el habitual ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?"
"Necesito el historial laboral No me puedo registrar en la página web da error, he escrito en Messenger, WhatsApp, Gmail, llené formulario de contacto de la página y NO TENGO RESPUESTA ALGUNA "," ","necesitar el historial laboral no me poder registrar en el página web dar error , haber escribir en messenger , whatsapp , gmail , llenar formulario de contactar de el página y no tener respuesta alguno"
"Quiero imformacion de 5 plus"," ","querer imformacion de 5 plus"
"Por q no contestan el numero fijo"," ","por q no contestar el numerar fijar"
"Por favor necesito una cita. "," ","por favor necesitar unir citar ."
"Quisiera que me ayuden a programar una cita ya que la otra vez no pude ingresar. "," ","querer que me ayudar a programar unir citar ya que el otro vez no poder ingresar ."
"Gracias "," ","gracia"
"Que oportunidades hay con el dinero al cumplir los 60 años"," ","que oportunidad haber con el dinero al cumplir el 60 año"
"Buenas tardes yo ya hice todo lp que me dijero para obtener mis ahorros y no me responden aún y eso fue.como.en septiembre"," ","bueno tardar yo ya hacer todo lp que me dijero parar obtener mi ahorro y no me responder aun y ese fue.como.en septiembre"
"ola buenas noches para el hombre de cuantos años puede retirar el veinticinco de la pension "," ","ola bueno noche parar el hombre de cuanto año poder retirar el veinticinco de el pension"
"Pregunta  si alguien  ya recibió el 25% de sus cotizaciones  ya no puede optar por  otra parte  del dinero"," ","preguntar si alguien ya recibir el 25 % de su cotización ya no poder optar por otro partir del dinero"
"AFP CONFIA quiero saber si puedo aplicar para el 25 tengo 50 años tengo.18 años de cotizar "," ","afp confia querer saber si poder aplicar parar el 25 tener 50 año tener . 18 año de cotizar"
"Buen día, su sitio web no me permite registrarme. Me gustaría retirar el 25% de mi AFP, como hago?"," ","bueno día , su sitiar web no me permitir registrarme . me gustar retirar el 25 % de mi afp , comer hacer ?"
"Porque no atienden, he ido a las oficinas, he escrito en wassap, he llamado y escrito en su sitio web y para nada, ni siquiera contestan. Necesito una constancia de pension para el ISSS.  Cuando fuí a las oficinas me dijerón que solo podía hacerlo por cita, pero no tengo respuesta de ninguna manera. "," ","porque no atender , haber ir a el oficina , haber escribir en wassap , haber llamar y escribir en su sitiar web y parar nadar , ni siquiera contestar . necesitar unir constancia de pension parar el isss . cuando fuí a el oficina me dijerón que solo poder hacerlo por citar , pero no tener respuesta de ninguno manera ."
